"","MODEL","MINIMIZED DEVIANCE","CHI-SQUARED CRITICAL","CHI-SQRD P-value","CONCLUSION"
" ","Exponential","0.5028","14.0671","0.9994","Exponential model shows a good fit to the data"
" ","Beta Poisson","0.3715","12.5916","0.9991","beta Poisson model shows a good fit to the data"
