"","MODEL","MINIMIZED DEVIANCE","DIFFERENCE BETWEEN DEVIANCES","CHI-SQUARED CRITICAL","CHI-SQRD P-value","CONCLUSION"
" ","Exponential","0.5028","0.1313","3.8415","0.7171","Exponential is the BEST fitting model"
" ","Beta Poisson","0.3715","0.1313","3.8415","0.7171","Exponential is the BEST fitting model"
