"","x"
"1",0.00809810584365241
"2",0.00652740431500994
"3",0.00297327983519833
"4",0.00667844030104129
"5",0.00376343721546674
"6",0.00386370538115002
"7",0.0038225293142834
"8",0.00463006445988617
"9",0.00741308052356102
"10",0.00751824241540693
"11",0.00449373704882466
"12",0.00554060631663259
"13",0.00466169693818277
"14",0.00933216485896767
"15",0.00543320642513471
"16",0.0045057346150138
"17",0.00317780229711502
"18",0.00497119099633735
"19",0.00942237540113173
"20",0.00497119099633735
"21",0.00546183646076815
"22",0.00809633499154921
"23",0.00366413424309626
"24",0.0031423879966966
"25",0.00592665402962541
"26",0.00536491293902294
"27",0.00502888593638939
"28",0.00503081065113039
"29",0.00676424654843752
"30",0.00606389934781245
"31",0.00716523914938725
"32",0.00330536794586261
"33",0.00374814688006354
"34",0.0062632270586666
"35",0.00352118698561056
"36",0.00700020430698278
"37",0.00809633499154921
"38",0.00474478121806172
"39",0.0138262611790686
"40",0.00592665402962541
"41",0.00456061353554608
"42",0.00513254255355237
"43",0.00334744408587416
"44",0.00466169693818277
"45",0.00395229764512621
"46",0.00744320777483032
"47",0.0042135728011267
"48",0.00828687085611175
"49",0.00641498449014273
"50",0.00711364794916629
"51",0.0103126146431897
"52",0.00567828417944304
"53",0.00440845679689937
"54",0.00667844030104129
"55",0.00302861684028256
"56",0.00905271329744713
"57",0.0042135728011267
"58",0.00381564917572806
"59",0.00306236200319804
"60",0.00376343721546674
"61",0.00461017526713371
"62",0.00567015602881553
"63",0.00580531460805483
"64",0.00623773779903172
"65",0.00783535995232022
"66",0.00744320777483032
"67",0.00958749526776964
"68",0.00392012977424166
"69",0.00641498449014273
"70",0.00551933102761098
"71",0.00609541969229457
"72",0.00786546372730605
"73",0.00399300683387342
"74",0.00525896983940978
"75",0.00396763214993574
"76",0.00321584630963368
"77",0.00552148137571014
"78",0.00498557698182473
"79",0.00744320777483032
"80",0.013641624205055
"81",0.00415315282576232
"82",0.00441055612341849
"83",0.003079476089671
"84",0.00334744408587416
"85",0.00730812010457076
"86",0.00835105401703945
"87",0.00415315282576232
"88",0.00419109299179777
"89",0.00925337250886709
"90",0.00394336140924391
"91",0.00326456189210994
"92",0.00412389929915692
"93",0.00397868708737561
"94",0.00419109299179777
"95",0.00456061353554608
"96",0.00496136386600671
"97",0.00525896983940978
"98",0.00386556353261778
"99",0.0110595152713215
"100",0.00592665402962541
"101",0.00336023330384026
"102",0.00809810584365241
"103",0.0124242816245024
"104",0.00506508007996289
"105",0.00552148137571014
"106",0.0062632270586666
"107",0.0119419065839687
"108",0.00251440909044554
"109",0.00625146107067578
"110",0.00325501060154862
"111",0.0138262611790686
"112",0.00751824241540693
"113",0.00443917124921058
"114",0.00413054910688492
"115",0.00343923504257179
"116",0.0138262611790686
"117",0.00525896983940978
"118",0.00670660431103553
"119",0.00386556353261778
"120",0.00506062872138198
"121",0.012798243935599
"122",0.00546183646076815
"123",0.00657689753702835
"124",0.00330536794586261
"125",0.00623773779903172
"126",0.00315871916515149
"127",0.00700020430698278
"128",0.00744320777483032
"129",0.00334744408587416
"130",0.00212183599991547
"131",0.00700020430698278
"132",0.00447972032773228
"133",0.0037821154529907
"134",0.00483189764207682
"135",0.00396763214993574
"136",0.00441055612341849
"137",0.00885137695274596
"138",0.00369162925681381
"139",0.00525896983940978
"140",0.00573082211655349
"141",0.00470226265837677
"142",0.0103126146431897
"143",0.00536209344259048
"144",0.00480784375879189
"145",0.00638521133189987
"146",0.00536209344259048
"147",0.00440845679689937
"148",0.00640805039313048
"149",0.00573082211655349
"150",0.00805316063401311
"151",0.00623773779903172
"152",0.00440845679689937
"153",0.00546183646076815
"154",0.0049052941289598
"155",0.00443357880563573
"156",0.00786562443870303
"157",0.00982132480298367
"158",0.00592665402962541
"159",0.00474478121806172
"160",0.00366413424309626
"161",0.00474478121806172
"162",0.00328594691076599
"163",0.00419109299179777
"164",0.00516093978388279
"165",0.00493066484887055
"166",0.00494406167315611
"167",0.0128961239168552
"168",0.00419109299179777
"169",0.0057664542596572
"170",0.00746625506091232
"171",0.00419109299179777
"172",0.00463006445988617
"173",0.00253483111172132
"174",0.00691394337471853
"175",0.00463006445988617
"176",0.00486108792718482
"177",0.0062632270586666
"178",0.0159924015794199
"179",0.00586396915005076
"180",0.00982132480298367
"181",0.00730812010457076
"182",0.00554060631663259
"183",0.00347383770317426
"184",0.0149907348984693
"185",0.00667844030104129
"186",0.00456061353554608
"187",0.00288620441450361
"188",0.00396763214993574
"189",0.00436454923910356
"190",0.00522887261336594
"191",0.00653528732310867
"192",0.00623773779903172
"193",0.00416233929805192
"194",0.00536209344259048
"195",0.00513254255355237
"196",0.00592665402962541
"197",0.0090667729849517
"198",0.00319603750056394
"199",0.00783535995232022
"200",0.00506758556937783
"201",0.00392012977424166
"202",0.00933216485896767
"203",0.00638521133189987
"204",0.00721195417161627
"205",0.00569035653387876
"206",0.00332762160865702
"207",0.0149907348984693
"208",0.00328401921321344
"209",0.00458233368449567
"210",0.00447972032773228
"211",0.00470311754025428
"212",0.00440845679689937
"213",0.00391578243203521
"214",0.00366413424309626
"215",0.00715044166398344
"216",0.00638521133189987
"217",0.00809810584365241
"218",0.00653528732310867
"219",0.00302861684028256
"220",0.00257412060422675
"221",0.00721195417161627
"222",0.00933216485896767
"223",0.0147723740332478
"224",0.00592665402962541
"225",0.016516358596074
"226",0.00640805039313048
"227",0.00245797276294607
"228",0.00536209344259048
"229",0.00330536794586261
"230",0.00393642075621414
"231",0.00355894488078703
"232",0.00391578243203521
"233",0.00525896983940978
"234",0.0062632270586666
"235",0.00440845679689937
"236",0.00373002758782743
"237",0.00434002613641613
"238",0.00386133357902425
"239",0.00982132480298367
"240",0.00443357880563573
"241",0.00357098061141283
"242",0.00721195417161627
"243",0.00397868708737561
"244",0.00640805039313048
"245",0.00483189764207682
"246",0.00474478121806172
"247",0.00463419827674129
"248",0.00397868708737561
"249",0.00652740431500994
"250",0.00675074249194424
"251",0.00456061353554608
"252",0.00354301971767725
"253",0.00657689753702835
"254",0.00536491293902294
"255",0.00480737125403493
