"","MODEL","MINIMIZED DEVIANCE","DIFFERENCE BETWEEN DEVIANCES","CHI-SQUARED CRITICAL","CHI-SQRD P-value","CONCLUSION"
" ","Exponential","3.0668","2.0015","3.8415","0.1571","Exponential is the BEST fitting model"
" ","Beta Poisson","1.0654","2.0015","3.8415","0.1571","Exponential is the BEST fitting model"
