"","MODEL","MINIMIZED DEVIANCE","CHI-SQUARED CRITICAL","CHI-SQRD P-value","CONCLUSION"
" ","Exponential","3.0668","14.0671","0.8788","Exponential model shows a good fit to the data"
" ","Beta Poisson","1.0654","12.5916","0.983","beta Poisson model shows a good fit to the data"
