"","N50_Confidence_Intervals"
"0.5%",6.84854469361697e-09
"2.5%",0.0136096561210245
"5%",1.3876065221162
"95%",847693351991.512
"97.5%",3359791951770.76
"99.5%",2.69549004307068e+21
