"","LD50 or ID50"
"0.5%",1.66089185885223e-259
"2.5%",2.48565848557243e-259
"5%",3.44530026574302e-259
"95%",35.0618379114515
"97.5%",45.6093583296414
"99.5%",125.484572495432
