"","MODEL","MINIMIZED DEVIANCE","DIFFERENCE BETWEEN DEVIANCES","CHI-SQUARED CRITICAL","CHI-SQRD P-value","CONCLUSION"
" ","Exponential","5.6444","5.3621","3.8415","0.0206","beta Poisson model is the BEST fitting model"
" ","Beta Poisson","0.2823","5.3621","3.8415","0.0206","beta Poisson model is the BEST fitting model"
