"","MODEL","MINIMIZED DEVIANCE","CHI-SQUARED CRITICAL","CHI-SQRD P-value","CONCLUSION"
" ","Exponential","5.6444","7.8147","0.1303","Exponential model shows a good fit to the data"
" ","Beta Poisson","0.2823","5.9915","0.8684","beta Poisson model shows a good fit to the data"
