"","MODEL","MINIMIZED DEVIANCE","CHI-SQUARED CRITICAL","CHI-SQRD P-value","CONCLUSION"
" ","Exponential","1.0744","7.8147","0.7833","Exponential model shows a good fit to the data"
" ","Beta Poisson","0.8645","5.9915","0.6491","beta Poisson model shows a good fit to the data"
