"","x"
"1",0.0808792316483269
"2",0.0808792316483269
"3",0.0808792316483269
"4",0.0744903210034597
"5",0.0744903210034597
"6",0.0325542392159926
"7",0.0360030721597707
"8",0.0180410920613946
"9",0.0360030721597707
"10",0.0808792316483269
"11",0.126128606816209
"12",0.0808792316483269
"13",0.0572441424957194
"14",0.0408001762961474
"15",2.21908261855065
"16",0.0408001762961474
"17",0.0572441424957194
"18",0.0408001762961474
"19",0.0572441424957194
"20",0.126128606816209
"21",0.0360030721597707
"22",0.126128606816209
"23",0.126128606816209
"24",0.126128606816209
"25",0.0192254513487831
"26",0.126128606816209
"27",0.0245602442121182
"28",0.0808792316483269
"29",0.0265904136334363
"30",0.0744903210034597
"31",0.0245602442121182
"32",0.0408001762961474
"33",0.0572441424957194
"34",0.126128606816209
"35",0.0360030721597707
"36",0.0482655077010802
"37",2.21908261855065
"38",0.126128606816209
"39",0.0482655077010802
"40",0.126128606816209
"41",0.0408001762961474
"42",0.0360030721597707
"43",0.0808792316483269
"44",0.0808792316483269
"45",2.21908261855065
"46",0.0265904136334363
"47",2.21908261855065
"48",0.0572441424957194
"49",0.0360030721597707
"50",0.0408001762961474
"51",0.0408001762961474
"52",0.0808792316483269
"53",0.0482655077010802
"54",0.0360030721597707
"55",0.126128606816209
"56",0.126128606816209
"57",0.0572441424957194
"58",0.0572441424957194
"59",0.0408001762961474
"60",0.0408001762961474
"61",0.0808792316483269
"62",0.0572441424957194
"63",0.0572441424957194
"64",0.0572441424957194
"65",0.0572441424957194
"66",0.0482655077010802
"67",0.0808792316483269
"68",0.0360030721597707
"69",0.0572441424957194
"70",0.126128606816209
"71",0.0265904136334363
"72",0.126128606816209
"73",2.21908261855065
"74",0.0325542392159926
"75",0.126128606816209
"76",0.0572441424957194
"77",0.0408001762961474
"78",0.0360030721597707
"79",0.0360030721597707
"80",0.126128606816209
"81",0.0180410920613946
"82",0.0808792316483269
"83",0.0572441424957194
"84",0.0744903210034597
"85",2.21908261855065
"86",0.0572441424957194
"87",0.0360030721597707
"88",0.126128606816209
"89",0.0572441424957194
"90",0.0360030721597707
"91",0.126128606816209
"92",0.0360030721597707
"93",0.0192254513487831
"94",0.0408001762961474
"95",0.0360030721597707
"96",0.0360030721597707
"97",0.126128606816209
"98",0.126128606816209
"99",2.21908261855065
"100",0.0360030721597707
"101",0.0408001762961474
"102",0.0265904136334363
"103",2.21908261855065
"104",0.126128606816209
"105",0.0572441424957194
"106",0.0572441424957194
"107",0.0360030721597707
"108",0.126128606816209
"109",0.0808792316483269
"110",2.21908261855065
"111",0.0572441424957194
