"","MODEL","MINIMIZED DEVIANCE","DIFFERENCE BETWEEN DEVIANCES","CHI-SQUARED CRITICAL","CHI-SQRD P-value","CONCLUSION"
" ","Exponential","1.0744","0.2099","3.8415","0.6468","Exponential is the BEST fitting model"
" ","Beta Poisson","0.8645","0.2099","3.8415","0.6468","Exponential is the BEST fitting model"
