"","MODEL","MINIMIZED DEVIANCE","CHI-SQUARED CRITICAL","CHI-SQRD P-value","CONCLUSION"
" ","Exponential","5.7876","7.8147","0.1224","Exponential model shows a good fit to the data"
" ","Beta Poisson","5.789","5.9915","0.0553","beta Poisson model shows a good fit to the data"
