,k
400,0.003978698
401,0.004433564
402,0.003920152
403,0.003775674
404,0.004887176
405,0.003101684
406,0.004744704
407,0.00592679
408,0.003473838
409,0.003748147
410,0.005316982
411,0.003952268
412,0.009785249
413,0.005297111
414,0.007443208
415,0.004807107
416,0.003062258
417,0.002303152
418,0.004439206
419,0.002966953
420,0.005678245
421,0.006237018
422,0.010312615
423,0.004801586
424,0.003305368
425,0.003920152
426,0.005900838
427,0.003253091
428,0.00730812
429,0.00516537
430,0.003473838
431,0.005540591
432,0.004479696
433,0.00592679
434,0.004094854
435,0.007150442
436,0.003155384
437,0.005678245
438,0.00449209
439,0.003284019
440,0.003238434
441,0.004479696
442,0.00573094
443,0.00242257
444,0.006699261
445,0.004191093
446,0.009587492
447,0.006251347
448,0.004661478
449,0.00637555
450,0.003473838
451,0.009785249
452,0.007413081
453,0.003347444
454,0.004213573
455,0.004002475
456,0.002541674
457,0.003992993
458,0.00275473
459,0.007150442
460,0.003978698
461,0.002293288
462,0.00525897
463,0.004543054
464,0.008516966
465,0.004241791
466,0.005678245
467,0.006068656
468,0.005160939
469,0.002870495
470,0.00416234
471,0.004807107
472,0.004433564
473,0.007211954
474,0.00363724
475,0.002633013
476,0.007150442
477,0.005362095
478,0.006576897
479,0.005242196
480,0.00354302
481,0.005470793
482,0.004962591
483,0.003691629
484,0.002514406
485,0.004905593
486,0.007211954
487,0.004801586
488,0.006593236
489,0.003253091
490,0.005185779
491,0.002514406
492,0.004274239
493,0.004661478
494,0.003347444
495,0.004838368
496,0.003664083
497,0.00416234
498,0.006068656
499,0.003952268
500,0.004364544
501,0.003369444
502,0.004887176
503,0.003521187
504,0.004801586
505,0.007413081
506,0.005640413
507,0.003473098
508,0.003691629
509,0.00274861
510,0.004505443
511,0.003215847
512,0.003748147
513,0.003952268
514,0.00441058
515,0.006237018
516,0.005678245
517,0.004543179
518,0.004439206
519,0.004213573
520,0.0028617
521,0.003925679
522,0.003943379
523,0.004261206
524,0.005540591
525,0.002633013
526,0.004439206
527,0.003570981
528,0.00730812
529,0.004241791
530,0.003253091
531,0.003723592
532,0.003479186
533,0.00637555
534,0.002293288
535,0.004577776
536,0.00363724
537,0.00221898
538,0.003570981
539,0.004744704
540,0.003238434
541,0.002514406
542,0.003631238
543,0.002541674
544,0.00274861
545,0.003534388
546,0.003347444
547,0.007413081
548,0.004905593
549,0.005766594
550,0.002487817
551,0.007443208
552,0.004191093
553,0.006408051
554,0.00449209
555,0.002514406
556,0.009785249
557,0.003978698
558,0.008096334
559,0.004439206
560,0.004521603
561,0.005540591
562,0.005640413
563,0.003887118
564,0.0041239
565,0.008911014
566,0.002961832
567,0.004905593
568,0.005060619
569,0.004298192
570,0.002293288
571,0.002488037
572,0.004629842
573,0.006576897
574,0.002268892
575,0.005540591
576,0.009785249
577,0.004241791
578,0.006408051
579,0.003978698
580,0.00730812
581,0.005678245
582,0.004261206
583,0.003863746
584,0.002633013
585,0.005316982
586,0.004905593
587,0.006913943
588,0.003308869
589,0.008516966
590,0.002961832
591,0.004661478
592,0.006251347
593,0.004971178
594,0.002150368
595,0.00592679
596,0.003691629
597,0.006251347
598,0.004298192
599,0.008911014
600,0.004831855
601,0.004521603
602,0.00402121
603,0.003748147
604,0.003713098
605,0.00242257
606,0.004191093
607,0.005060619
608,0.003664313
609,0.0050302
610,0.004744704
611,0.003390858
612,0.001897448
613,0.004241791
614,0.002633013
615,0.006593236
616,0.003748147
617,0.003886445
618,0.004191093
619,0.003194405
620,0.002616327
621,0.004433564
622,0.002432823
623,0.004521603
624,0.005678245
625,0.004831855
626,0.003079476
627,0.006068656
628,0.006408051
629,0.003925679
630,0.007150442
631,0.007150442
632,0.003062258
633,0.003624448
634,0.004633976
635,0.02368589
636,0.006706604
637,0.003446665
638,0.002293288
639,0.00574585
640,0.008911014
641,0.00573094
642,0.003347444
643,0.0050302
644,0.00297328
645,0.005540591
646,0.00354302
647,0.003473838
648,0.003081694
649,0.007443208
650,0.007211954
651,0.005766594
652,0.007413081
653,0.006237018
654,0.003943379
655,0.002997827
656,0.004261206
657,0.001996754
658,0.003473838
659,0.003763532
660,0.008627709
661,0.007211954
662,0.003114443
663,0.003142387
664,0.009785249
665,0.007443208
666,0.002770751
667,0.004661478
