"","MODEL","MINIMIZED DEVIANCE","DIFFERENCE BETWEEN DEVIANCES","CHI-SQUARED CRITICAL","CHI-SQRD P-value","CONCLUSION"
" ","Exponential","5.7876","0.0015","3.8415","0.9696","Exponential is the BEST fitting model"
" ","Beta Poisson","5.789","0.0015","3.8415","0.9696","Exponential is the BEST fitting model"
