"","k Confidence Interval"
"0.5%",8.37898451658076e-05
"2.5%",8.37898451658076e-05
"5%",0.000106954627734217
"95%",0.000279086853530285
"97.5%",0.000325926897803652
"99.5%",0.000386053575071304
