"","x"
"1",0.05098260886884
"2",0.05098260886884
"3",0.111315039064513
"4",0.970122245211612
"5",0.144875130320578
"6",0.567477843127137
"7",0.358420628113796
"8",0.210767469483163
"9",0.402286767895258
"10",0.377451007929321
"11",0.144875130320578
"12",0.243259968081633
"13",0.0797723223088591
"14",0.0416711004403908
"15",0.128739970100084
"16",0.0227318403322105
"17",0.293354493705553
"18",0.0828075069164125
"19",0.240261699581605
"20",0.243259968081633
"21",0.358420628113796
"22",0.377451007929321
"23",0.05098260886884
"24",0.0416711004403908
"25",0.441677215663949
"26",0.240261699581605
"27",0.111315039064513
"28",0.144875130320578
"29",486.164430053254
"30",0.111315039064513
"31",0.0961940499423594
"32",0.0357574584146086
"33",0.121252808902167
"34",0.0416711004403908
"35",0.0102664139852826
"36",0.00801282377657777
"37",0.0416711004403908
"38",0.627283132666451
"39",0.518273972512559
"40",0.240261699581605
"41",0.114228457166644
"42",0.180267519832043
"43",0.210767469483163
"44",0.144875130320578
"45",0.518273972512559
"46",0.121252808902167
"47",0.0199573327459356
"48",1.05419405308724
"49",0.165331538097782
"50",0.0797723223088591
"51",0.236837862640799
"52",0.111315039064513
"53",0.0190059432101214
"54",0.0295777739484661
"55",1.34087399576422
"56",0.0199573327459356
"57",0.240261699581605
"58",0.0357574584146086
"59",0.05098260886884
"60",0.338772607276376
"61",0.00991823913805764
"62",0.144875130320578
"63",0.540113058167488
"64",170.39763279732
"65",0.144875130320578
"66",0.144875130320578
"67",0.441677215663949
"68",0.627283132666451
"69",0.240261699581605
"70",0.0102664139852826
"71",0.0295777739484661
"72",0.410145572603624
"73",0.0635097066216003
"74",0.683984868443567
"75",0.144875130320578
"76",0.0227318403322105
"77",0.243259968081633
"78",0.567477843127137
"79",0.038784649837438
"80",0.0961940499423594
"81",0.0357574584146086
"82",0.111315039064513
"83",0.243259968081633
"84",0.0144286463072233
"85",0.121252808902167
"86",0.144875130320578
"87",0.377451007929321
"88",0.144875130320578
"89",0.0797723223088591
"90",0.0295777739484661
"91",2374.60464435767
"92",1.05419405308724
"93",0.0357574584146086
"94",0.377451007929321
"95",0.293354493705553
"96",0.144875130320578
"97",0.0357574584146086
"98",0.0295777739484661
"99",0.210767469483163
"100",0.358420628113796
"101",0.190379647157099
"102",0.0443956884163001
"103",0.567477843127137
"104",0.144875130320578
"105",0.29912170600747
"106",0.338772607276376
"107",0.356644200259392
"108",0.0680822680949607
"109",0.518273972512559
"110",0.165331538097782
"111",0.240261699581605
"112",0.0961940499423594
"113",0.0416711004403908
"114",0.240261699581605
"115",0.0227318403322105
"116",0.111315039064513
"117",0.190379647157099
"118",0.0498325115254971
"119",0.114228457166644
"120",0.540113058167488
"121",0.0498325115254971
"122",0.00452410829535046
"123",0.00452410829535046
"124",0.441677215663949
"125",0.0680822680949607
"126",0.165331538097782
"127",0.0199573327459356
"128",0.065344346505109
"129",0.0199573327459356
"130",0.0416711004403908
"131",0.00370953771149666
"132",0.0635097066216003
"133",0.111315039064513
"134",0.243259968081633
"135",0.240261699581605
"136",0.0227318403322105
"137",0.165331538097782
"138",0.293354493705553
"139",0.190379647157099
"140",0.190379647157099
"141",0.0227318403322105
"142",0.243259968081633
"143",0.0357574584146086
"144",0.29912170600747
"145",0.0102664139852826
"146",0.210767469483163
"147",0.128739970100084
"148",0.144875130320578
"149",0.239747351217616
"150",0.540113058167488
"151",0.0227318403322105
"152",0.0100689119067237
"153",0.293354493705553
"154",0.144875130320578
"155",0.0797723223088591
"156",112.395685660417
"157",0.0333740631920935
