"","N50_Confidence_Intervals"
"0.5%",1.11895834426034e-10
"2.5%",1.27944255716415e-07
"5%",8.00108175733525e-06
"95%",3116.39154250696
"97.5%",4170.38230336355
"99.5%",36407.8629177822
