"","MODEL","MINIMIZED DEVIANCE","DIFFERENCE BETWEEN DEVIANCES","CHI-SQUARED CRITICAL","CHI-SQRD P-value","CONCLUSION"
" ","Exponential","11.4679","6.9894","3.8415","0.0082","beta Poisson model is the BEST fitting model"
" ","Beta Poisson","4.4785","6.9894","3.8415","0.0082","beta Poisson model is the BEST fitting model"
