,k
400,0.004801586
401,0.002879652
402,0.002790507
403,0.006408051
404,0.005060619
405,0.005488512
406,0.007150442
407,0.007518242
408,0.003347444
409,0.0041239
410,0.007211954
411,0.003888199
412,0.006408051
413,0.002196433
414,0.004521603
415,0.00312243
416,0.004661478
417,0.003101684
418,0.007150442
419,0.00592679
420,0.003444583
421,0.004261206
422,0.006068656
423,0.005411939
424,0.006020459
425,0.003521187
426,0.005362095
427,0.00516537
428,0.005160939
429,0.005185779
430,0.005678245
431,0.004261206
432,0.007113648
433,0.003570981
434,0.002886204
435,0.003952268
436,0.005185779
437,0.004661478
438,0.008703192
439,0.003142387
440,0.00354302
441,0.004577776
442,0.003952268
443,0.005160939
444,0.00449209
445,0.004744704
446,0.003886445
447,0.001585808
448,0.00398869
449,0.003101684
450,0.007518242
451,0.004261206
452,0.004521603
453,0.003570981
454,0.006913943
455,0.005640413
456,0.0028617
457,0.007150442
458,0.007150442
459,0.004744704
460,0.005060619
461,0.003284019
462,0.004276248
463,0.006535287
464,0.004479696
465,0.005805391
466,0.003142387
467,0.004971178
468,0.008171782
469,0.002361898
470,0.002374183
471,0.003925679
472,0.00363724
473,0.006535287
474,0.003763532
475,0.006237018
476,0.003925679
477,0.006251347
478,0.005540591
479,0.003925679
480,0.007150442
481,0.00221898
482,0.003369715
483,0.003815712
484,0.003101684
485,0.003305368
486,0.006576897
487,0.004905593
488,0.004094854
489,0.00573094
490,0.004553978
491,0.003238434
492,0.002979344
493,0.004153153
494,0.003748147
495,0.002646534
496,0.003602713
497,0.007443208
498,0.004191093
499,0.002997827
500,0.006913943
501,0.002325776
502,0.004521603
503,0.006251347
504,0.005678245
505,0.003390858
506,0.004153153
507,0.002303152
508,0.009785249
509,0.007150442
510,0.002700699
511,0.004887176
512,0.003420755
513,0.005766594
514,0.0041239
515,0.006408051
516,0.004801586
517,0.005766594
518,0.007211954
519,0.002487817
520,0.004439206
521,0.007150442
522,0.006414984
523,0.007413081
524,0.003473838
525,0.004153153
526,0.003570981
527,0.003347444
528,0.005640413
529,0.002879652
530,0.004744704
531,0.003570981
532,0.006055238
533,0.003763532
534,0.003390858
535,0.003570981
536,0.005060619
537,0.002892876
538,0.003570981
539,0.004543054
540,0.002633013
541,0.0041239
542,0.00363724
543,0.006593236
544,0.004191093
545,0.006414984
546,0.005533947
547,0.006068656
548,0.005519339
549,0.00637555
550,0.003142387
551,0.00363724
552,0.003992993
553,0.003473838
554,0.006251347
555,0.008516966
556,0.005242196
557,0.004905593
558,0.00354302
559,0.002715428
560,0.004801586
561,0.004261206
562,0.003992993
563,0.0050302
564,0.004831855
565,0.004661478
566,0.003473098
567,0.006237018
568,0.006263635
569,0.005678245
570,0.006750742
571,0.004661478
572,0.007150442
573,0.005540591
574,0.004408446
575,0.005900838
576,0.005362095
577,0.010938793
578,0.004629842
579,0.004661478
580,0.006068656
581,0.003691629
582,0.005540591
583,0.003008913
584,0.002988112
585,0.023022728
586,0.004002475
587,0.003691629
588,0.00516537
589,0.004241791
590,0.007518242
591,0.004629842
592,0.006414984
593,0.004801586
594,0.00592679
595,0.00449209
596,0.002268892
597,0.007150442
598,0.004831855
599,0.003194405
600,0.008171782
601,0.003238434
602,0.002733295
603,0.004629842
604,0.003425721
605,0.003943379
606,0.00294372
607,0.003952268
608,0.004577776
609,0.003925679
610,0.005863622
611,0.006408051
612,0.005411939
613,0.006593236
614,0.003347444
615,0.004408446
616,0.00201463
617,0.009587492
618,0.003943379
619,0.009785249
620,0.002633013
621,0.003493776
622,0.005563464
623,0.007443208
624,0.010312615
625,0.003578618
626,0.004962591
627,0.002988112
628,0.005433209
629,0.003284019
630,0.00516537
631,0.004332902
632,0.005678245
633,0.007259958
634,0.003748147
635,0.003420755
636,0.0041239
637,0.007443208
638,0.006408051
639,0.005766594
640,0.003925679
641,0.007413081
642,0.004582096
643,0.005766594
644,0.003763532
645,0.005132541
646,0.004661478
647,0.003925679
648,0.002961832
649,0.0041239
650,0.00525897
651,0.00516537
652,0.006068656
653,0.008171782
654,0.005132541
655,0.005540591
656,0.003284019
657,0.002041314
658,0.003534388
659,0.004261206
660,0.003079476
661,0.004661478
662,0.003473838
663,0.003992993
664,0.003062258
665,0.003347444
666,0.004905593
667,0.004261206
668,0.003284019
669,0.00516537
670,0.005900838
671,0.005362095
672,0.006237018
673,0.003142387
674,0.00592679
675,0.003723592
676,0.003920152
677,0.005132541
678,0.006237018
679,0.003347444
680,0.005766594
681,0.003473838
682,0.004944045
683,0.006706604
684,0.007413081
685,0.004241791
686,0.00525897
687,0.003326227
688,0.00592679
689,0.006408051
690,0.002997827
691,0.004261206
692,0.004905593
693,0.003713098
694,0.003347444
695,0.002048503
696,0.002633013
697,0.00525897
698,0.003347444
699,0.003887118
700,0.00449209
701,0.008516966
702,0.003215847
703,0.002961832
704,0.004801586
705,0.006593236
706,0.005540591
707,0.004191093
708,0.005058692
709,0.003390858
710,0.007211954
711,0.004521603
712,0.003155384
713,0.005766594
714,0.003101684
715,0.004801586
716,0.004190819
717,0.004261206
718,0.004831855
719,0.005316982
720,0.004962591
721,0.007150442
722,0.003142387
723,0.005766594
724,0.004553978
725,0.005540591
726,0.003473098
727,0.002700699
728,0.003978698
729,0.006237018
730,0.0028617
731,0.003284019
732,0.004191093
733,0.006535287
734,0.004274239
735,0.00398869
736,0.003493776
737,0.004905593
738,0.004661478
739,0.0028617
740,0.006237018
741,0.00315872
742,0.002892876
743,0.003943379
744,0.002316927
745,0.003177803
746,0.004801586
747,0.006055238
748,0.003215847
749,0.002541674
750,0.004744704
751,0.003473838
752,0.004744704
753,0.00525897
754,0.002293288
755,0.002303152
756,0.004521603
757,0.002514406
758,0.003284019
759,0.003101684
760,0.00206024
761,0.005766594
762,0.005678245
763,0.003920152
764,0.004661478
765,0.003196038
766,0.004629842
767,0.003920152
768,0.002293288
769,0.008096334
770,0.005060619
771,0.003473098
772,0.004153153
773,0.006068656
774,0.003215847
775,0.0050302
776,0.002821558
777,0.007413081
778,0.00516537
779,0.004332902
780,0.003607792
781,0.004831855
782,0.003624448
783,0.003925679
784,0.00592679
785,0.003667466
786,0.007443208
787,0.00398869
788,0.003062258
789,0.002886204
790,0.004261206
791,0.003943379
792,0.003347444
793,0.004191093
794,0.00573094
795,0.004153153
796,0.004130549
797,0.005411939
798,0.005766594
799,0.004433564
800,0.00730812
801,0.003748147
802,0.007697372
803,0.004191093
804,0.002733295
805,0.004801586
806,0.006068656
807,0.003101684
808,0.00525897
809,0.003284019
810,0.004521603
811,0.003493776
812,0.002997827
813,0.003943379
814,0.006068656
815,0.003748147
816,0.00350373
817,0.002838291
818,0.003284019
819,0.004703447
820,0.003016035
821,0.004661478
822,0.005316982
823,0.005060619
824,0.004408446
825,0.003570981
826,0.004831855
827,0.002652132
828,0.005362095
829,0.004905593
830,0.002715428
831,0.003920152
832,0.006251347
833,0.004261206
834,0.003691629
835,0.002961832
836,0.004298192
837,0.003815712
838,0.003473098
839,0.004944045
840,0.005540591
841,0.004661478
842,0.005362095
843,0.006408051
844,0.002293288
845,0.004887176
846,0.002725473
847,0.003793776
848,0.003775674
849,0.003121546
850,0.005540591
851,0.005331011
852,0.007211954
853,0.003420755
854,0.009422374
855,0.003992993
856,0.007413081
857,0.003493776
858,0.00516537
859,0.003308869
860,0.004191093
861,0.002447383
862,0.005242196
863,0.006839318
864,0.002458042
865,0.010312615
866,0.004582096
867,0.003887118
868,0.004744704
869,0.006068656
870,0.004521603
871,0.004521603
872,0.004241791
873,0.005316982
874,0.003664083
875,0.006237018
876,0.003978698
877,0.0028617
878,0.003284019
879,0.004744704
880,0.00354302
881,0.003043069
882,0.003101684
883,0.004543054
884,0.004629842
885,0.002603293
886,0.003521187
887,0.005766594
888,0.005766594
889,0.003473838
890,0.002997827
891,0.002942025
892,0.005640413
893,0.003399185
894,0.004971178
895,0.006237018
896,0.002997827
897,0.001943615
898,0.003284019
899,0.006576897
900,0.004130549
901,0.00354302
902,0.00150109
903,0.003308869
904,0.002997827
905,0.003785548
906,0.004276248
907,0.007413081
908,0.003390858
909,0.003101684
910,0.004191093
911,0.002741211
912,0.004744704
913,0.004560371
914,0.00607833
915,0.002325776
916,0.002821558
917,0.002784739
918,0.009785249
919,0.006068656
920,0.004703447
921,0.00449209
922,0.003691629
923,0.004703447
924,0.003215847
925,0.0050302
926,0.00730812
927,0.005185779
928,0.004039524
929,0.002348285
930,0.002451979
931,0.003886445
932,0.003177803
933,0.002853444
934,0.008516966
935,0.002966953
936,0.002715428
937,0.004002475
938,0.004962591
939,0.005540591
940,0.006535287
941,0.004191093
942,0.004944045
943,0.005461841
944,0.00416234
945,0.003925679
946,0.006593236
947,0.003748147
948,0.003748147
949,0.004191093
950,0.002961832
951,0.003952268
952,0.011941906
953,0.005900838
954,0.003691629
955,0.004261206
956,0.007341966
957,0.005805391
958,0.005060619
959,0.003691629
960,0.004039524
961,0.004577776
962,0.007413081
963,0.004479696
964,0.004261206
965,0.004241791
966,0.004191093
967,0.004191093
968,0.009785249
969,0.0050302
970,0.003763532
971,0.0043607
972,0.003691629
973,0.006593236
974,0.005540591
975,0.003262757
976,0.003763532
977,0.003284019
978,0.003215847
979,0.003284019
980,0.003215847
981,0.00221898
982,0.005060619
983,0.006699261
984,0.006064138
985,0.002961832
986,0.00206024
987,0.004191093
988,0.007413081
989,0.006913943
990,0.004002475
991,0.007113648
992,0.003347444
993,0.004213573
994,0.003886445
995,0.008516966
996,0.002821558
997,0.004213573
998,0.002398333
999,0.009332165
1000,0.006593236
1001,0.002219781
1002,0.003691629
1003,0.004039524
1004,0.003238434
1005,0.003943379
1006,0.006237018
1007,0.002997827
1008,0.003493776
1009,0.00398869
1010,0.003347444
1011,0.002770751
1012,0.006237018
1013,0.006068656
1014,0.006593236
1015,0.00590085
1016,0.003863746
1017,0.002303152
1018,0.004887176
1019,0.00516537
1020,0.003390858
1021,0.003114443
1022,0.004971178
1023,0.006576897
1024,0.003748147
1025,0.006913943
1026,0.004002475
1027,0.004905593
1028,0.003604158
1029,0.002988112
1030,0.002853444
1031,0.003101684
1032,0.00274861
1033,0.002741211
1034,0.008096334
1035,0.003238434
1036,0.00363724
1037,0.004364544
1038,0.00354302
1039,0.002997827
1040,0.003390858
1041,0.001975894
1042,0.002633013
1043,0.003978698
1044,0.004190819
1045,0.004332902
1046,0.00354302
1047,0.004241791
1048,0.004703447
1049,0.003925679
1050,0.007150442
1051,0.004261206
1052,0.002271086
1053,0.004962591
1054,0.004831855
1055,0.005362095
1056,0.005030804
1057,0.002886204
1058,0.006068656
1059,0.003444583
1060,0.00449209
1061,0.004905593
1062,0.005411939
1063,0.006408051
1064,0.004744704
1065,0.0041239
1066,0.005362095
1067,0.003390858
1068,0.003121546
1069,0.0028617
1070,0.003473098
1071,0.003142387
1072,0.003943379
1073,0.004521603
1074,0.003978698
1075,0.005766594
1076,0.004002475
1077,0.003952268
1078,0.002541674
1079,0.002633013
1080,0.008171782
1081,0.004241791
1082,0.002475267
1083,0.004191093
1084,0.003045428
1085,0.004213573
1086,0.003101684
1087,0.007150442
1088,0.006237018
1089,0.005766594
1090,0.004801586
1091,0.004661478
1092,0.004703447
1093,0.004241791
1094,0.008516966
1095,0.00221898
1096,0.011941906
1097,0.003121546
1098,0.004521603
1099,0.002150368
1100,0.007697372
1101,0.004241791
1102,0.004364544
1103,0.007211954
1104,0.00449209
1105,0.003420755
1106,0.004744704
1107,0.00590085
1108,0.004868208
1109,0.006408051
1110,0.00221898
1111,0.00242257
1112,0.003101684
1113,0.00516537
1114,0.003748147
1115,0.004560371
1116,0.00210896
1117,0.006408051
1118,0.008516966
1119,0.004807107
1120,0.002733295
1121,0.004408446
1122,0.00363724
1123,0.003284019
1124,0.007113648
1125,0.005060619
1126,0.003978698
1127,0.00363724
1128,0.003748147
1129,0.005185779
1130,0.00354302
1131,0.004801586
1132,0.005132541
1133,0.003664313
1134,0.006408051
1135,0.003420755
1136,0.008096334
1137,0.003121546
1138,0.00206024
1139,0.002271086
1140,0.005242196
1141,0.003925679
1142,0.003763532
1143,0.005316982
1144,0.004905593
1145,0.002652132
1146,0.003284019
1147,0.003802934
1148,0.003992993
1149,0.002821558
1150,0.002886204
1151,0.003284019
1152,0.004661478
1153,0.002633013
1154,0.003713098
1155,0.003253091
1156,0.003420812
1157,0.003748147
1158,0.007150442
1159,0.004153153
1160,0.004191093
1161,0.006535287
1162,0.00730812
1163,0.004801586
1164,0.003570981
1165,0.004213573
1166,0.003284019
1167,0.004153153
1168,0.006219381
1169,0.004744704
1170,0.005540591
1171,0.002447383
1172,0.00416234
1173,0.007697372
1174,0.002821558
1175,0.002475267
1176,0.003763532
1177,0.007443208
1178,0.003920152
1179,0.002633013
1180,0.00590085
1181,0.004577776
1182,0.004191093
1183,0.006414984
1184,0.010312615
1185,0.003101684
1186,0.005640413
1187,0.002514406
1188,0.003604158
1189,0.003978698
1190,0.003748147
1191,0.00274861
1192,0.005242196
1193,0.001787028
1194,0.005678245
1195,0.004241791
1196,0.005316982
1197,0.004521603
1198,0.002824971
1199,0.004582096
1200,0.005678245
1201,0.00516537
1202,0.005060619
1203,0.007697372
1204,0.006237018
1205,0.002770751
1206,0.005411939
1207,0.004439206
1208,0.004276248
1209,0.004962591
1210,0.004521603
1211,0.007150442
1212,0.002278422
1213,0.001782019
1214,0.003473098
1215,0.002790507
1216,0.003952268
1217,0.004661478
1218,0.005540591
1219,0.006576897
1220,0.005540591
1221,0.003943379
1222,0.004241791
1223,0.00730812
1224,0.007150442
1225,0.004191093
1226,0.0043607
1227,0.004479696
1228,0.006593236
1229,0.008516966
1230,0.003347444
1231,0.003521187
1232,0.006535287
1233,0.003493776
1234,0.002121798
1235,0.003920152
1236,0.003215847
1237,0.003062258
1238,0.005712444
1239,0.002385248
1240,0.004905593
1241,0.002790507
1242,0.002997827
1243,0.006593236
1244,0.003781903
1245,0.003284019
1246,0.008383902
1247,0.004971178
1248,0.003177803
1249,0.0028617
1250,0.003861248
1251,0.008171782
1252,0.00382467
1253,0.003886445
1254,0.004191093
1255,0.006408051
1256,0.008516966
1257,0.003624448
1258,0.002541674
1259,0.003763532
1260,0.004971178
1261,0.004479696
1262,0.006251347
1263,0.007211954
1264,0.007443208
1265,0.002853444
1266,0.003425721
1267,0.003390858
1268,0.004962591
1269,0.002278422
1270,0.00363724
1271,0.003861248
1272,0.003748147
1273,0.004521603
1274,0.003920152
1275,0.006699261
1276,0.004261206
1277,0.007413081
1278,0.00525897
1279,0.003284019
1280,0.003215847
1281,0.002853444
1282,0.00730812
1283,0.009785249
1284,0.002961832
1285,0.002961832
1286,0.003748147
1287,0.002997827
1288,0.003691629
1289,0.003992993
1290,0.0028617
1291,0.003121546
1292,0.00363724
1293,0.002886204
1294,0.00441058
1295,0.003691629
1296,0.004661478
1297,0.002997827
1298,0.00525897
1299,0.005678245
1300,0.002997827
1301,0.003763532
1302,0.003142387
1303,0.004905593
1304,0.005060619
1305,0.008516966
1306,0.003473838
1307,0.006576897
1308,0.005060619
1309,0.003081694
1310,0.005540591
1311,0.004801586
1312,0.006068656
1313,0.004887176
1314,0.003602713
1315,0.004479696
1316,0.004261206
1317,0.002997827
1318,0.004661478
1319,0.005060619
1320,0.005411939
1321,0.00449209
1322,0.003925679
1323,0.002633013
1324,0.003284019
1325,0.002142495
1326,0.004130549
1327,0.004831855
1328,0.0041239
1329,0.003691629
1330,0.004191093
1331,0.003521187
1332,0.003262167
1333,0.00363724
1334,0.005060619
1335,0.005316982
1336,0.002997827
1337,0.002961832
1338,0.004801586
1339,0.003444583
1340,0.003347444
1341,0.003521187
1342,0.005863622
1343,0.004831855
1344,0.003493776
1345,0.003570981
1346,0.005060619
1347,0.006237018
1348,0.007413081
1349,0.003081694
1350,0.005640413
1351,0.004661478
1352,0.002196433
1353,0.004241791
1354,0.013826259
1355,0.00441058
1356,0.008171782
1357,0.007865624
1358,0.004191093
1359,0.011238921
1360,0.00607833
1361,0.003390858
1362,0.004191093
1363,0.00592679
1364,0.004744704
1365,0.007413081
1366,0.008098106
1367,0.003308869
1368,0.003952268
1369,0.003978698
1370,0.003521187
1371,0.003742065
1372,0.003142387
1373,0.004261206
1374,0.007443208
1375,0.007150442
1376,0.005540591
1377,0.006913943
1378,0.00416234
1379,0.003992993
1380,0.0028617
1381,0.003444583
1382,0.007211954
1383,0.002684288
1384,0.007413081
1385,0.004439206
1386,0.001960403
1387,0.004887176
1388,0.003691629
1389,0.003414037
1390,0.007518242
1391,0.00416234
1392,0.003952268
1393,0.006237018
1394,0.003534388
1395,0.003602713
1396,0.005640413
1397,0.003691629
1398,0.003763532
1399,0.003284019
1400,0.003101684
1401,0.002715428
1402,0.003748147
1403,0.008703192
1404,0.014990736
1405,0.003915805
1406,0.004241791
1407,0.00398869
1408,0.003390858
1409,0.001897448
1410,0.002979344
1411,0.003521187
1412,0.003943379
1413,0.002541674
1414,0.002129435
1415,0.002741211
1416,0.002741211
1417,0.003097016
1418,0.0050302
1419,0.004521603
1420,0.003177803
1421,0.003420755
1422,0.004577776
1423,0.003305368
1424,0.008516966
1425,0.00294372
1426,0.004191093
1427,0.00525897
1428,0.005766594
1429,0.00363724
1430,0.002715428
1431,0.003305368
1432,0.008516966
1433,0.005316982
1434,0.002385248
1435,0.004191093
1436,0.0028617
1437,0.004971178
1438,0.003713098
1439,0.003305368
1440,0.003121546
1441,0.004703447
1442,0.003284019
1443,0.003863746
1444,0.003521187
1445,0.005540591
1446,0.009785249
1447,0.008096334
1448,0.00354302
1449,0.003493776
1450,0.002385248
1451,0.004744704
1452,0.004191093
1453,0.005060619
1454,0.005640413
1455,0.003142387
1456,0.003121546
1457,0.003062258
1458,0.004577776
1459,0.004191093
1460,0.002853444
1461,0.004744704
1462,0.003101684
1463,0.003886445
1464,0.008171782
1465,0.003952268
1466,0.003284019
1467,0.007150442
1468,0.004241791
1469,0.006414984
1470,0.005316982
1471,0.00354302
1472,0.005030804
1473,0.005678245
1474,0.005242196
1475,0.005678245
1476,0.003142387
1477,0.006408051
1478,0.00441058
1479,0.006414984
1480,0.004406803
1481,0.007150442
1482,0.003008913
1483,0.002805965
1484,0.004905593
1485,0.005362095
1486,0.003142387
1487,0.002385248
1488,0.003045428
1489,0.004661478
1490,0.005678245
1491,0.004002475
1492,0.00354302
1493,0.007413081
1494,0.00516537
1495,0.002174409
1496,0.005060619
1497,0.004521603
1498,0.003420755
1499,0.00351509
1500,0.006068656
1501,0.003238434
1502,0.003347444
1503,0.004298192
1504,0.002926864
1505,0.003978698
1506,0.003534388
1507,0.006408051
1508,0.004505443
1509,0.0050302
1510,0.006263635
1511,0.003420755
1512,0.004577776
1513,0.00221898
1514,0.002293288
1515,0.004439206
1516,0.007211954
1517,0.003473838
1518,0.003691629
1519,0.004905593
1520,0.005362095
1521,0.004962591
1522,0.003748147
1523,0.004364544
1524,0.00525897
1525,0.004439206
1526,0.004039524
1527,0.00354302
1528,0.004191093
1529,0.007211954
1530,0.003815712
1531,0.004703447
1532,0.003748147
1533,0.001915927
1534,0.002541674
1535,0.001754834
1536,0.004801586
1537,0.009785249
1538,0.005766594
1539,0.00416234
1540,0.00274861
1541,0.004971178
1542,0.004801586
1543,0.003392933
1544,0.002926864
1545,0.004744704
1546,0.002633013
1547,0.006576897
1548,0.004831855
1549,0.002514406
1550,0.00449209
1551,0.003570981
1552,0.004408446
1553,0.003943379
1554,0.002715428
1555,0.004191093
1556,0.005766594
1557,0.005540591
1558,0.004408446
1559,0.003493776
1560,0.004153153
1561,0.004801586
1562,0.003763532
1563,0.002838291
1564,0.003101684
1565,0.005640413
1566,0.003444583
1567,0.003578618
1568,0.009332165
1569,0.004887176
1570,0.006068656
1571,0.003691629
1572,0.004153153
1573,0.0041239
1574,0.007150442
1575,0.005766594
1576,0.006913943
1577,0.004887176
1578,0.004582096
1579,0.003952268
1580,0.005060619
1581,0.006263635
1582,0.006237018
1583,0.002293288
1584,0.003763532
1585,0.007211954
1586,0.003521187
1587,0.003943379
1588,0.005470793
1589,0.003748147
1590,0.005766594
1591,0.003347444
1592,0.00516537
1593,0.003241106
1594,0.00525897
1595,0.005470793
1596,0.00525897
1597,0.011941906
1598,0.004521603
1599,0.003602713
1600,0.005362095
1601,0.003305368
1602,0.002770751
1603,0.00274861
1604,0.004661478
1605,0.002853444
1606,0.005540591
1607,0.006839318
1608,0.002541674
1609,0.0041239
1610,0.007466254
1611,0.002616327
1612,0.005291296
1613,0.003748147
1614,0.002979344
1615,0.003444583
1616,0.003943379
1617,0.003992993
1618,0.004629842
1619,0.006414984
1620,0.004439206
1621,0.002293288
1622,0.002997827
1623,0.003473098
1624,0.003101684
1625,0.003390858
1626,0.002447383
1627,0.005678245
1628,0.003664083
1629,0.006593236
1630,0.002303152
1631,0.00315872
1632,0.00449209
1633,0.003473838
1634,0.003045428
1635,0.004744704
1636,0.010312615
1637,0.004962591
1638,0.004744704
1639,0.004002475
1640,0.007150442
1641,0.002838291
1642,0.007697372
1643,0.008703192
1644,0.003763532
1645,0.01105953
1646,0.004521603
1647,0.004439206
1648,0.002142495
1649,0.00363724
1650,0.003943379
1651,0.004439206
1652,0.006408051
1653,0.006750742
1654,0.005362095
1655,0.003079476
1656,0.002385248
1657,0.003664083
1658,0.00590085
1659,0.003253091
1660,0.003978698
1661,0.002293288
1662,0.005540591
1663,0.004002475
1664,0.006237018
1665,0.003978698
